Year_;Month_;Global_;Northern;Southern
1858;12;-0.4549887;-0.4834889;-0.4264885
1859;1;-0.38148466;-0.33785602;-0.42511332
1859;2;-0.34352297;-0.32000422;-0.36704174
1859;3;-0.31371728;-0.2638359;-0.36359864
1859;4;-0.15715948;-0.08328769;-0.23103124
1859;5;-0.15164812;-0.0136809815;-0.28961527
1859;6;-0.24957645;-0.12850703;-0.37064585
1859;7;-0.31209;-0.26761;-0.35657004
1859;8;-0.24464844;-0.14298159;-0.34631532
1859;9;-0.393858;-0.38717142;-0.40054455
1859;10;-0.25472045;-0.27766982;-0.23177108
1859;11;-0.2875482;-0.250893;-0.3242034
1859;12;-0.28437135;-0.4982312;-0.07051148
1860;1;-0.39058298;-0.5770035;-0.20416245
1860;2;-0.4682912;-0.6404198;-0.2961626
1860;3;-0.7864609;-1.2679583;-0.30496347
1860;4;-0.30610728;-0.3308667;-0.2813479
1860;5;-0.36362675;-0.27852127;-0.44873223
1860;6;-0.21145956;-0.10445343;-0.3184657
1860;7;-0.1847646;-0.09886361;-0.2706656
1860;8;-0.1142386;-0.02295626;-0.20552094
1860;9;-0.13131975;-0.013608623;-0.24903089
1860;10;-0.3459595;-0.27193123;-0.41998777
1860;11;-0.60494;-0.82197547;-0.3879046
1860;12;-0.774231;-1.0798267;-0.46863532
1861;1;-0.91803956;-1.382559;-0.45352018
1861;2;-0.6245886;-0.66150665;-0.58767056
1861;3;-0.41567025;-0.39429238;-0.4370481
1861;4;-0.38623625;-0.5478385;-0.224634
1861;5;-0.6607519;-0.5168911;-0.80461264
1861;6;-0.25202128;-0.103430875;-0.40061167
1861;7;-0.29750192;0.05200617;-0.64700997
1861;8;-0.041093126;0.111801334;-0.19398758
1861;9;-0.27033228;-0.24801917;-0.29264542
1861;10;-0.47664645;-0.41407913;-0.5392138
1861;11;-0.45758948;-0.44297364;-0.4722053
1861;12;-0.35085425;-0.3187166;-0.3829919
1862;1;-0.82483715;-1.1130203;-0.5366541
1862;2;-0.7155356;-1.0046529;-0.4264183
1862;3;-0.5353963;-0.8371359;-0.2336567
1862;4;-0.52208453;-0.79820573;-0.24596336
1862;5;-0.3478659;-0.5525246;-0.1432072
1862;6;-0.3066114;-0.41355714;-0.19966562
1862;7;-0.3448706;-0.33973104;-0.35001013
1862;8;-0.4561808;-0.29864195;-0.61371964
1862;9;-0.3624242;-0.33977076;-0.38507766
1862;10;-0.44867027;-0.51722866;-0.38011187
1862;11;-0.6777555;-0.9237737;-0.4317372
1862;12;-0.8945406;-1.2805809;-0.5085004
1863;1;-0.07634223;0.18852645;-0.3412109
1863;2;-0.24953309;-0.26256448;-0.23650171
1863;3;-0.3549987;-0.3348571;-0.3751403
1863;4;-0.28827205;-0.31638238;-0.2601617
1863;5;-0.3840041;-0.19225156;-0.5757566
1863;6;-0.36912903;-0.2889883;-0.4492698
1863;7;-0.3123347;-0.25171044;-0.37295893
1863;8;-0.29738235;-0.18093032;-0.41383442
1863;9;-0.35204113;-0.21702242;-0.48705983
1863;10;-0.5043272;-0.6492517;-0.35940266
1863;11;-0.44055805;-0.4557238;-0.42539227
1863;12;-0.50319576;-0.65515155;-0.35123995
1864;1;-0.8532364;-0.96151525;-0.7449575
1864;2;-0.5934415;-0.5855036;-0.60137933
1864;3;-0.49939686;-0.5074581;-0.49133563
1864;4;-0.54358864;-0.5584429;-0.5287343
1864;5;-0.32347065;-0.32466525;-0.3222761
1864;6;-0.11254485;0.18495072;-0.4100404
1864;7;-0.25960582;-0.12707426;-0.39213744
1864;8;-0.3079488;0.02401922;-0.6399168
1864;9;-0.4425317;-0.37723416;-0.50782925
1864;10;-0.6029094;-0.6937615;-0.51205724
1864;11;-0.45623875;-0.7052797;-0.20719783
1864;12;-0.5903272;-0.90775746;-0.27289692
1865;1;-0.17609702;-0.012363493;-0.33983055
1865;2;-0.46668038;-0.7600303;-0.17333044
1865;3;-0.66122115;-1.0518299;-0.2706124
1865;4;-0.4481533;-0.7355513;-0.1607553
1865;5;-0.37767282;-0.25981465;-0.495531
1865;6;-0.1958778;-0.06359463;-0.32816097
1865;7;-0.21560228;-0.16771226;-0.26349232
1865;8;-0.21177977;-0.20155872;-0.22200081
1865;9;-0.17093047;-0.024168827;-0.31769213
1865;10;-0.26942545;-0.21918891;-0.31966197
1865;11;-0.33705235;-0.25909343;-0.4150113
1865;12;-0.4605614;-0.65528566;-0.26583713
1866;1;-0.1320992;-0.101021715;-0.16317667
1866;2;-0.40108874;-0.5328015;-0.26937604
1866;3;-0.6821522;-0.8675933;-0.4967111
1866;4;-0.4543501;-0.5333461;-0.37535414
1866;5;-0.5719213;-0.75216556;-0.39167702
1866;6;-0.0985114;-0.03505893;-0.16196387
1866;7;-0.00851037;0.08329945;-0.10032019
1866;8;-0.2494715;-0.182148;-0.316795
1866;9;-0.37775257;-0.3623511;-0.39315405
1866;10;-0.4206272;-0.59310234;-0.24815205
1866;11;-0.29829076;-0.27520606;-0.32137546
1866;12;-0.40035242;-0.33326527;-0.46743956
1867;1;-0.40518752;-0.501059;-0.30931607
1867;2;-0.3535976;-0.3190334;-0.3881618
1867;3;-0.6812089;-1.0716891;-0.29072863
1867;4;-0.4213023;-0.5964037;-0.24620086
1867;5;-0.57436174;-0.8542732;-0.2944503
1867;6;-0.35023195;-0.35556042;-0.34490347
1867;7;-0.25301105;-0.14538062;-0.36064145
1867;8;-0.33047715;-0.17148551;-0.48946878
